rosbagTimestamp,secs,nsecs,lwrist.x,lwrist.y,lwrist.z,rwrist.x,rwrist.y,rwrist.z,neck.x,neck.y,neck.z,wDist,wNDist,x,y,z,x.1,y.1,z.1,Label
1569261797.76635,1569261797,766348942,1.113999963,-0.150258154,-0.178998053,1.041000009,0.156640887,-0.160517648,1.152999997,-0.101306289,0.145594031,0.316002436730614,0.415674275050278,0.00941961337884,0.00353804052638,-0.000481044421746,-0.4908225,0.2944935,-9.98332965,7
1569261797.92219,1569261797,922190741,1.116000056,-0.150527909,-0.181128681,1.075000048,0.071124859,-0.097790971,1.149000049,-0.099091932,0.145088926,0.240325038491843,0.30568022581297,0.000692967118845,4.73820223817e-05,-0.000481044421746,-0.50063895,0.3337593,-9.94406385,7
1569261798.07929,1569261798,79290575,1.100000024,-0.13231869,-0.182098523,1.118000031,0.046780232,-0.085389972,1.146999955,-0.098919451,0.14297685,0.204335429992162,0.272434943809868,-0.00803367914116,4.73820223817e-05,-0.000481044421746,-0.5104554,0.3533922,-9.9342474,7
1569261798.23297,1569261798,232968922,1.082999945,-0.133785561,-0.179284275,1.06400001,0.11352431,-0.082990564,1.151000023,-0.099264421,0.145341486,0.266074517010165,0.324011683986539,0.00767428412684,4.73820223817e-05,-0.000481044421746,-0.50063895,0.32394285,-9.94406385,7
1569261798.39222,1569261798,392215777,1.101999998,-0.141492769,-0.177069888,1.059999943,0.264334738,-0.117048264,1.151000023,-0.095532127,0.145341486,0.412386427280816,0.454569638218389,0.0251275766468,0.00353804052638,-0.000481044421746,-0.5104554,0.28467705,-9.9146145,7
1569261798.55624,1569261798,556244706,1.105999947,-0.134833619,-0.175919548,1.042000055,0.298702687,-0.150536016,1.151000023,-0.09179984,0.143475458,0.438969291059104,0.500815298748989,0.00767428412684,0.00353804052638,-0.000481044421746,-0.4908225,0.34357575,-9.9735132,7
1569261798.71649,1569261798,716485271,1.110000014,-0.138920605,-0.176555783,1.029999971,0.296932697,-0.150472254,1.161999941,-0.079489306,0.144846648,0.443901405978173,0.496317207339236,-0.0202509839052,0.00877402828238,0.00126428483025,-0.4711896,0.40247445,-10.08149415,7
1569261798.86335,1569261798,863346554,1.126000047,-0.153702348,-0.171798781,1.023000002,0.293256104,-0.162717625,1.161999941,-0.077605322,0.144846648,0.458762830314897,0.501452851585047,0.000692967118845,0.00528336977838,-0.000481044421746,-0.5104554,0.32394285,-9.90479805,7
1569261799.02697,1569261799,26973289,1.128000021,-0.152146488,-0.179418847,1.062000036,0.302714109,-0.16203402,1.166000009,-0.075982004,0.145345256,0.459952598571871,0.498707088078357,0.00417669595166,0.00353756670616,-0.000476233977529,-0.4908225,0.3533922,-9.94406385,7
1569261799.19308,1569261799,193081151,1.120000005,-0.136540368,-0.179962128,1.100000024,0.29749456,-0.153565183,1.166000009,-0.075982004,0.145345256,0.435296584720462,0.482895633051718,0.00769540066622,0.00177431507962,-0.000471471637753,-0.5104554,0.30430995,-9.9146145,7
1569261799.35899,1569261799,358987364,1.111999989,-0.113930121,-0.17867668,1.078999996,0.160609409,-0.112149149,1.157999992,-0.069828205,0.14434804,0.284406162822779,0.353741856837602,0.000717152153016,2.84090096467e-05,-0.000462089352162,-0.52027185,0.3337593,-9.88516515,7
1569261799.52327,1569261799,523274246,1.101999998,-0.096825264,-0.169923574,1.157999992,0.076616354,-0.092199802,1.171000004,-0.072510682,0.145968527,0.198138787006396,0.281304152327685,-0.00278067787251,1.06716270302e-05,-0.000457468458641,-0.52027185,0.34357575,-9.8949816,7
1569261799.68048,1569261799,680483435,1.09800005,-0.1071551,-0.1693068,1.159999967,0.065464258,-0.105523281,1.164000034,-0.075851671,0.146983042,0.194190035172669,0.289388381729671,0.000709980631486,1.06716270302e-05,-0.000457468458641,-0.50063895,0.34357575,-9.90479805,7
