rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,mode,interval,data1,data2,data3,data4
1569261685139729325,,132785,,1569261685,139452934,"""force_sensor_frame""","""0""",0.0,-37.0,74.0,25.0,86.0
1569261685149704103,,132786,,1569261685,149455070,"""force_sensor_frame""","""0""",0.0,-28.0,71.0,37.0,92.0
1569261685159775712,,132787,,1569261685,159455060,"""force_sensor_frame""","""0""",0.0,-29.0,73.0,39.0,87.0
1569261685169839145,,132788,,1569261685,169486999,"""force_sensor_frame""","""0""",0.0,-33.0,74.0,27.0,91.0
1569261685180762318,,132789,,1569261685,180459976,"""force_sensor_frame""","""0""",0.0,-29.0,70.0,25.0,91.0
1569261685190759748,,132790,,1569261685,190463066,"""force_sensor_frame""","""0""",0.0,-30.0,78.0,30.0,87.0
1569261685201715412,,132791,,1569261685,201433897,"""force_sensor_frame""","""0""",0.0,-26.0,74.0,27.0,93.0
1569261685211688055,,132792,,1569261685,211426019,"""force_sensor_frame""","""0""",0.0,-34.0,74.0,27.0,91.0
1569261685221708328,,132793,,1569261685,221426963,"""force_sensor_frame""","""0""",0.0,-30.0,75.0,31.0,91.0
1569261685231717009,,132794,,1569261685,231419086,"""force_sensor_frame""","""0""",0.0,-17.0,100.0,19.0,104.0
1569261685241768210,,132795,,1569261685,241417884,"""force_sensor_frame""","""0""",0.0,-24.0,97.0,23.0,109.0
1569261685251766160,,132796,,1569261685,251434087,"""force_sensor_frame""","""0""",0.0,-11.0,113.0,16.0,125.0
1569261685262739057,,132797,,1569261685,262424945,"""force_sensor_frame""","""0""",0.0,-10.0,112.0,16.0,126.0
1569261685272672136,,132798,,1569261685,272389888,"""force_sensor_frame""","""0""",0.0,-12.0,114.0,3.0,120.0
1569261685282705854,,132799,,1569261685,282412052,"""force_sensor_frame""","""0""",0.0,11.0,141.0,-9.0,150.0
1569261685293702084,,132800,,1569261685,293409109,"""force_sensor_frame""","""0""",0.0,14.0,142.0,-18.0,168.0
1569261685304686232,,132801,,1569261685,304394960,"""force_sensor_frame""","""0""",0.0,3.0,145.0,-21.0,179.0
1569261685315699694,,132802,,1569261685,315402984,"""force_sensor_frame""","""0""",0.0,4.0,138.0,-20.0,144.0
1569261685326664625,,132803,,1569261685,326390027,"""force_sensor_frame""","""0""",0.0,-7.0,119.0,-4.0,126.0
1569261685339654358,,132804,,1569261685,337435960,"""force_sensor_frame""","""0""",0.0,-18.0,112.0,-12.0,112.0
